reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
156.38.133.2,4,17,ananzi.co.za,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Pretoria
156.38.230.157,4,36,auditexcel.co.za,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Pretoria
156.38.250.207,4,46,awieforum.org,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Pretoria
156.38.250.151,4,7,birdlife.org.za,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Pretoria
156.38.230.130,4,248,bookdash.org,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Pretoria
156.38.203.5,4,5,caa.co.za,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Pretoria
156.38.203.76,4,33,cidb.org.za,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Pretoria
156.38.250.202,4,46,cricket.co.za,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Pretoria
102.165.170.174,4,-43236621,DNS Server: 102-165-170.wttx-communications.co.za,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Pretoria
192.143.230.163,4,1995,DNS Server: 192-143-230-163.ip.airmobile.co.za,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Pretoria
156.38.141.28,4,21,DNS Server: 28.141.38.156.reverse.xneelo.net,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Pretoria
41.180.14.73,4,11,DNS Server: core-02-hvld-10gig-0-0-1-995-xdsl.co.za,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Pretoria
156.38.154.7,4,600,ecogra.org,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Pretoria
156.38.203.81,4,-18,erasa.co.za,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Pretoria
156.38.230.37,4,15,fixunix.com,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Pretoria
156.38.212.115,4,-12016,fmm.co.za,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Pretoria
156.38.230.29,4,13,globex360.co.za,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Pretoria
156.38.203.223,4,0,hadithanswers.com,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Pretoria
156.38.230.51,4,37,icc.co.za,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Pretoria
156.38.218.178,4,2,jackpotpredictions.com.ng,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Pretoria
156.38.203.43,4,16,joburg.co.za,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Pretoria
156.38.203.62,4,6,kanonkop.co.za,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Pretoria
156.38.203.80,4,7,krier.co.za,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Pretoria
156.38.230.7,4,8,laptoponline.co.za,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Pretoria
156.38.203.147,4,10,leeucollection.com,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Pretoria
156.38.203.130,4,12,legal-aid.co.za,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Pretoria
164.151.137.35,4,-1832,npa.gov.za,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Pretoria
156.38.230.52,4,19,nsri.org.za,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Pretoria
154.119.166.178,4,101,Ookla Speedtest Server 18633: speedtest-jhb-01.ecn.co.za,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Pretoria
196.201.239.98,4,258,Ookla Speedtest Server 46779: speedtest-ookla-srv-jhb.level-7.co.za,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Pretoria
156.38.223.154,4,316,power987.co.za,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Pretoria
156.38.203.233,4,46,propertywheel.co.za,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Pretoria
156.38.250.102,4,10,provincialgovernment.co.za,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Pretoria
169.1.24.242,4,54,responsiblegambling.org.za,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Pretoria
156.38.250.198,4,29,rhinolion.co.za,ZA,Africa,Sub-Saharan Africa,South Africa,Gauteng,,Pretoria
